giriftaarii,giriftaarii|giriftaarii-e
.sarfah,.sarfah
:zaalim,:zaalim
baaqii,baaqii
((aalam,((aalam|((aalam-e
ravaa;n,ravaa;n
aavaaz,aavaaz
ravish-o-mastii,ravish-o-mastii-e
taq.siir,taq.siir
tamkiin-o-.zab:t,tamkiin-o-.zab:t
rast;xez-andaazah,rast;xez-andaazah
:taa((at-o-zuhd,:taa((at-o-zuhd
.suurate;n,.suurate;n
((aalam-aaraa))ii,((aalam-aaraa))ii
((izz-o-naaz,((izz-o-naaz
:tuufaa;n-gaah,:tuufaa;n-gaah-e
.zauq,.zauq-e
;gaarat-garii,;gaarat-garii
((uryaanii,((uryaanii
taazah-vaaridaan,taazah-vaaridaan-e
tahiiyah,tahiiyah-e
la;z;zat,la;z;zat|la;z;zat'haa-e|la;z;zat-e
:tuul,:tuul
aatish-nafas,aatish-nafas
paa-bastagii,paa-bastagii-e
((arbadah-juu,((arbadah-juu
shiishah-o-qada;h-o-kuuzah-o-sabuu,shiishah-o-qada;h-o-kuuzah-o-sabuu
:tuur,:tuur
.sad-jalvah,.sad-jalvah-e
gul-afshaanii,gul-afshaanii-e
:taaqat,:taaqat|:taaqat-e
:tuufaa;n,:tuufaa;n
ta((ziir,ta((ziir
rasaa,rasaa
tuvaa;n,taab-o-tuvaa;n
be-kaarii,be-kaarii-e
;gaarat-gar,;gaarat-gar-e
.saa((iqah,.saa((iqah-o-shu((lah-o-siimaab
siilii,siilii-e
sa((ii,sa((ii-e
bulandii,bulandii
aasmaan,aasmaa;n|aasmaan
.sayyaad,.sayyaad
.sarf,.sarf-e
.sad-guunah,.sad-guunah
:taali((,:taali((-e
.sad-na:zar,.sad-na:zar
.suur,.suur
tapish,tapish|tapish-e
.said,.said|.said-e
dushvaarii,dushvaarii-e
ta;haiyur,ta;haiyur
kisuu,kisuu
siimaab,.saa((iqah-o-shu((lah-o-siimaab
rah,rasm-o-rah-e
angez,angez
tamkiin,tamkiin-e|tamkiin-o-.zab:t
((umr-o-asad,((umr-o-asad
((ahd,((ahd|((ahd-e
tund-;xuu,tund-;xuu
ruubaruu,ruubaruu
tal;x-navaa))ii,tal;x-navaa))ii
((aashiq,((aashiq|((aashiq-e
tamaashaa-dost,tamaashaa-dost
tamannaa,tamannaa|tamannaa))e;n|tamannaa-e
andaazah,andaaze
((anaa.sir,((anaa.sir
;xaa.s,;xaa.s
:ta((n,:ta((n-e
talaafii,talaafii|talaafii-e
ta((riif,ta((riif
sa;xt-jaanii,sa;xt-jaaniihaa-e
qad-o-gesuu,qad-o-gesuu
pahluu,pahluu
jaah,((aish-o-jaah
aazurdagii,aazurdagii-e
jaam,jaam-o-subuu
raah,rasm-o-raah
.zaamin,.zaamin|.zaamin-e
taqaa.zaa,taqaa.zaa|taqaa.zaa-e
giraa;n-baarii,giraa;n-baarii-e
zabaan,zabaa;n|zabaan|zabaan-e
baavar,baavar
((izz,((izz-o-naaz
.si;h;hat,.si;h;hat
raaz,raaz|raaz'haa-e|raaz-e
;halqah,;halqah|;halqah'haa-e|;halqah-e
rasaa))ii,rasaa))ii
((itaab,((itaab
aabruu,aabruu
aab-ruu,aab-ruu
jaa;n,((aql-o-dil-o-jaa;n
:taala((,:taala((-e
suvaidaa,suvaidaa|suvaidaa-e
ta((liim,ta((liim|ta((liim-e
tajallii,tajallii
zindagaanii,zindagaanii|zindagaanii-e
tapaak,tapaak-e
buraa,buraa|burii
((u;zr,((u;zr|((u;zr-e
tunuk-:zarfii,tunuk-:zarfii-e
rasm,rasm-o-raah|rasm-o-rah-e
((amaarii,((amaarii
ma((zuulii,ma((zuulii-e
.sa;hraa-dast-gaah,.sa;hraa-dast-gaah-o-qa:trah
be-mihrii,be-mihrii-e
naumiidii,naumiidii|naumiidii-e
shu((lah,.saa((iqah-o-shu((lah-o-siimaab
bustaanii,bustaanii
:tarz-o-ravish,:tarz-o-ravish
armaan,armaan
tadarv,tadarv
tan-aasaanii,tan-aasaanii
.suurat-;xaanah,.suurat-;xaanah-e
cha;taknaa,cha;taknaa
far.z,far.z
i;xlaa.s,i;xlaa.s
taa;xiir,taa;xiir
((aadat,((aadat
lakhna))uu,lakhna))uu
ravaanah,ravaanah
.saa;hib,.saa;hib
be-aabruu,be-aabruu
((inaa;n-giir,((inaa;n-giir|((inaa;n-giir-e
tamhiid,tamhiid|tamhiid-e
nashaa:t,nashaa:t
chashm,chashmhaa-e
:taalib,:taalib-e
va;hshat-;xiraamii,va;hshat-;xiraamiihaa-e
ta;gaaful-dost,ta;gaaful-dost
bad-aamozii,bad-aamozii-e
muu,muu
;gala:t,;gala:t
subuu,jaam-o-subuu
shikaayat,shikaayat|shikaayat'haa-e|shikaayat-e
baa;g-baanii,baa;g-baanii-e
:taaq,:taaq-e
andeshah,andeshah|andeshah'haa-e|andeshe
qa:t,qa:t
((iyaadat,((iyaadat
.sirf,.sirf
jaa;n-kaahii,jaa;n-kaahii-e
aa))inah-daarii,aa))inah-daarii-e
bujhnaa,bujhaa|bujhte|bujhtii
kuuzah,shiishah-o-qada;h-o-kuuzah-o-sabuu
talaf,talaf
tuu,tuu
.zaruur,.zaruur
((aalam-taab,((aalam-taab
((ishq-o-naa-guziir,((ishq-o-naa-guziir-e
aavaaragii,aavaaragii|aavaaragiihaa-e
.sad-daanah,.sad-daanah
qa:trah,.sa;hraa-dast-gaah-o-qa:trah
taariikii,taariikii-e
;gala:t-andaaz,;gala:t-andaaz
ka;srat-aaraa))ii,ka;srat-aaraa))ii-e
be-rab:tii,be-rab:tii-e
((i:tr-saa,((i:tr-saa-e
ma;hruumii,ma;hruumii-e
:tahuur,:tahuur
azal,azal
;xandah,;xandah|;xandah'haa-e|;xandah-e
.sub;h,.sub;h|.sub;h-e|.sub;h-o-mihr
bismil,bismil
andar,andar
but-kadah,but-kade
((aba;s,((aba;s
:tiflaan,:tiflaan-e
gustaa;xii,gustaa;xii|gustaa;xii-e
((amal,((amal
((inaa;n-guse;xtah,((inaa;n-guse;xtah
:tuu:tii,:tuu:tii|:tuu:tii-e
daraaz-dastii,daraaz-dastii-e
ta;gayyur,ta;gayyur
ravaa,ravaa
shiishah,shiishah-o-qada;h-o-kuuzah-o-sabuu
aanaa,aataa|aate|aatii
.zarar,.zarar
bekasii,bekasii|bekasii-e|bekasii-haa-e
((aar,((aar-e
dast-o-baazuu,dast-o-baazuu
ta((miir,ta((miir
;gara.z,;gara.z
dast,dast-o-baazuu
zuhd,:taa((at-o-zuhd
((aarif,((aarif
:zaahir,:zaahir
asiirii,asiirii
:taa((at,:taa((at|:taa((at-o-zuhd
ranjuurii,ranjuurii
fitnah-;xuu,fitnah-;xuu
.sabaa,.sabaa
garmii,garmii|garmii-e
naa-tavaanii,naa-tavaanii|naa-tavaanii-e
((aam,((aam
((anqaa,((anqaa
taa;siir,taa;siir|taa;siir-e
:zaahira:n,:zaahira:n
tang,tang
aham,aham
sho;xii,sho;xii|sho;xii-e
:tuulaanii,:tuulaanii
sabuu,shiishah-o-qada;h-o-kuuzah-o-sabuu
((ajz,((ajz|((ajz-e
giraa;n-maayagii,giraa;n-maayagii-e
abruu,abruu
tajdiid,tajdiid-e
kishtii,kishtii-e
tanhaa))ii,tanhaa))ii
((aafiyat,((aafiyat
:tuufaan,:tuufaan-e
biimaarii,biimaarii-e
