;halqah-e girdaab
;haq-e vadii((at-e naaz
;haqiiqat-e jaa;n-kaahii-e mara.z
;haqq-e .su;hbat-e ahl-e kunisht
;harf-e mukarrar
;harf-e vafaa
;harii.s-e la;z;zat-e aazaar
;hariif-e dam-e ((iis;aa
;hariif-e dam-e af((ii
;hariif-e joshish-e daryaa
;hariif-e ma:tlab-e mushkil
;hariif-e mai-e mard-afgan-e ((ishq
;hariif-e raaz-e mu;habbat
;hariif-e siyah-mast
;hasb-e gardish-e paimaanah-e .sifaat
;hasrat-e diidaar
;hasrat-e dil
;hasrat-e i:zhaar
;hasrat-e la;z;zat-e aazaar
;hasrat-e parvaanah
;hasrat-e ta((miir
;hasrat-parast-e baalii;n
;hayaat-e dahr
;hijaab-e paas-e va.z((a
;hikaayaat-e ;xuu;n-chakaa;n
;hikaayat-e .sabr-e gurez-paa
;hinaa-e paa-e ;xizaa;n
;hu.zuur-e shaah
;husn-e ((amal
;husn-e :talab
;husn-e :zann
;husn-e ;xvud-aaraa
;husn-e be-parvaa
;husn-e furo;g-e sham((-e su;xan
;husn-e mah
;husn-e talaafii
;husn-e tamaashaa-dost
;huuraan-e ;xuld
;savaab-e :taa((at-o-zuhd
;xa:t-e piyaalah
;xa:t-e ru;xsaar-e dost
;xa:t:t-e ((aari.z
;xa:t:t-e jaam-e mai
;xaak-e dasht-e majnuu;n
;xaak-e gulshan
;xaak-e shahiidaa;n
;xaal-e kunj-e dahan
;xaaliq-e akbar
;xaamah-e ;gaalib
;xaamah-e maanii
;xaamah-e mizhgaa;n
;xaanah-e ((aashiq
;xaanah-e aa))iinah
;xaanah-e majnuun-e .sa;hraa-gard
;xaanah-e maktab
;xaanah-viiraa;n-saazii-e ;hairat
;xaanah-zaad-e zulf
;xaar-;xaar-e alam-e ;hasrat-e diidaar
;xaar-e bayaabaa;n
;xaar-e bistar
;xaar-e kisvat-e faanuus
;xaar-e paa
;xaar-e rah
;xaatim-e jamshed
;xajlat-e taq.siir
;xalish-e ;gamzah-e ;xuu;n-rez
;xam-e dast-e navaazish
;xandah'haa-e be-jaa
;xandah'haa-e gul
;xandah-e a;hbaab
;xandah-e dandaa;n-numaa
;xandah-e gul
;xaraab-e baadah-e ulfat
;xariidaar-e ;zauq-e ;xvaarii
;xariidaar-e mataa((-e jalvah
;xas-e jauhar
;xas-o-;xaashaak-e gulistaa;n
;xastah-e te;g-e sitam
;xauf-e bad-aamozii-e ((aduu
;xauf-e raqiib
;xayaal-e :turrah-e lail;aa
;xayaal-e ;husn
;xayaal-e jalvah-e gul
;xayaal-e marg
;xayaal-e za;xm
;xudaavand-e ni((mat
;xum-e mai
;xumaar-e shauq-e saaqii
;xumaar-e tishnah-kaamii
;xusrav-e shiirii;n-su;xan
;xuu-e savaal
;xuu-e yaar
;xuu-kardah-e a;xtar-shumaarii
;xuu;n-;galtiidah-e .sad-rang
;xuu;n-;galtiidan-e bismil
;xuu;n-shudah-e kashmakash-e ;hasrat-e diidaar
;xuubaan-e dil-aazaar
;xuubii-e au.zaa((-e abnaa-e zamaa;n
;xuun-e ;xalq
;xuun-e dil
;xuun-e do-((aalam
;xuun-e garm
;xuun-e garm-e dihqaa;n
;xuun-e jigar
;xuun-e naab
;xvaab-e ;xvush
;xvaab-e gul
;xvaab-e sangii;n
;xvaab-e zulai;xaa
;xvud-daarii-e saa;hil
;xvud-raftah-e baidaa-e ;xayaal
;xvurshiid-e jahaa;n-taab
;xvurshiid-e qiyaamat
;xvush-navaayaan-e chaman
;zarii((ah-e raa;hat
;zarrah-e ((aashiq
;zarrah-e zamii;n
;zauq-e ;xaamah-farsaa
;zauq-e ;xaraabii
;zauq-e ;xvaarii
;zauq-e asiirii
;zauq-e dard
;zauq-e dasht-navardii
;zauq-e fanaa
;zauq-e giriftaarii-e ham
;zauq-e kaavish-e naa;xun
;zauq-e ma((aa.sii
;zauq-e na:z:zaarah-e jamaal
;zauq-e na:zar
;zauq-e navaa-e mur;g-e bustaanii
;zauq-e sitam
;zauq-e tamaashaa
;zauq-e tan-aasaanii
;zauq-e va.sl-o-yaad-e yaar
a.sl-e iimaa;n
a.sl-e shuhuud-o-shaahid-o-mashhuud
a.snaam-e ;xayaalii
a;hvaal-e butaa;n
a;sar-e aablah
a;sar-e giryah
aa))iin-e ;gazal-;xvaanii
aa))iinah-e baad-e bahaarii
aa))iinah-e bahaar
aa))iinah-e be-mihrii-e qaatil
aa))iinah-e ta.sviir-numaa
aa))inah-daarii-e yak
aa))inah-e barg-e gul
aa))inah-e inti:zaar
aa;gosh-e ;xam-e ;halqah-e zunnaar
aa;gosh-e balaa
aa;gosh-e gul
aa;gosh-e raqiib
aa;gosh-e vidaa((
aa;gosh-e vidaa((-e jalvah
aab-e barjaa-maa;ndah
aab-e haft
aab-e te;g-e nigaah
aab-e zindagaanii-e sham((a
aab-o-havaa-e zindagii
aabaad-e tamannaa
aabruu-e ((ishq
aabruu-e shevah-e ahl-e na:zar
aah-e aatishii;n
aah-e niim-shabii
aahang-e zamii;n
aalaat-e mai-kashii
aamad-e ;xa:t
aamad-e fa.sl-e laalah-kaarii
aamad-e sailaab-e :tuufaan-e .sadaa-e aab
aaraa))ish-e ;xam-e kaakul
aaraa))ish-e jamaal
aarzuu-e dost
aashnaa-e ;xandah
aashob-e ;gam
aashtii-e chashm-o-gosh
aastaan-e yaar
aatish-e ;xaamosh
aatish-e doza;x
aatish-e gul
aazaadii-e nasiim
aazurdagii-e yaar
abr-e bahaar
abr-e bahaarii
abr-e guhar-baar
abr-e shafaq-aaluudah
adaa-e ;xaa.s
