urdu,transliteration,count
ہلے جاناون,ahl-e junuu;n,1
ننگے واجاود,nang-e vujuud,1
خارے پا,;xaar-e paa,1
خارے کاسوتے فاناوس,;xaar-e kisvat-e faanuus,1
ماژدہے واصال,muzhdah-e vi.saal,1
وقتے واداعے بہار,vaqt-e vidaa((-e bahaar,1
سر گرمے جفا,sar-garm-e jafaa,1
عاےشے رفتہ,((aish-e raftah,1
ہاجاومے نا امایدای,hujuum-e naa-umiidii,1
گالے جیبے قباے گال,gul-e jeb-e qabaa-e gul,1
پردہے تبسّامے پانہان,pardah-e tabassum-e pinhaa;n,1
زالفے سایاہ,zulf-e siyaah,1
ننگے پاےراہن,nang-e pairaahan,1
بیدادے رشکے غاےر,bedaad-e rashk-e ;gair,1
فلکے پایر,falak-e piir,1
ناور ال عاےنے دامن,nuur-ul-((ain-e daaman,1
نومایدایے جاوید,naumiidii-e jaaved,1
برقے ساوزے دال,barq-e soz-e dil,1
غالامے ساقایے کوثر,;gulaam-e saaqii-e kau;sar,1
فاراوغے شمعے بالاین,furo;g-e sham((-e baalii;n,1
ذوقے درد,;zauq-e dard,1
لبے عایسیٰ,lab-e ((iis;aa,1
ساواے حسرتے حاصال,sivaa-e ;hasrat-e ;haa.sil,1
سفحہے دشت,saf;hah-e dasht,1
ماہرے گرداون,mihr-e garduu;n,1
گال چاینے گالاستانے تسلای,gul-chiin-e gulistaan-e tasallii,1
دالے وا بستہ,dil-e vaa-bastah,1
دالے نازاک,dil-e naazuk,1
طعنہے نا یافت,:ta((nah-e naa-yaaft,1
شمعے بزمے بی خوادای,sham((-e bazm-e be-;xvudii,1
اشناے خندہ,aashnaa-e ;xandah,1
ارائاشے خمے کاکال,aaraa))ish-e ;xam-e kaakul,1
فنا تعلایمے درسے بی خوادای,fanaa-ta((liim-e dars-e be-;xvudii,1
لخّتے فراغ,la;z;zat-e faraa;g,1
تاندایے خاو,tundii-e ;xuu,1
زاناوے فاکرے اختاراعے جلوہ,zaanuu-e fikr-e i;xtiraa((-e jalvah,1
حسرتے اظہار,;hasrat-e i:zhaar,1
تکلایفے ساےرے باغ,takliif-e sair-e baa;g,1
ناواکے ناز,naavuk-e naaz,1
کشاکشے غمے پانہان,kashaakash-e ;gam-e pinhaa;n,1
دشنہے غمزہ,dashnah-e ;gamzah,1
مستے طرب,mast-e :tarab,1
چرخے کاہن,char;x-e kuhan,1
نامے خادا,naam-e ;xudaa,1
رنگے داے گال,rang-e adaa-e gul,1
مایناے ماے,miinaa-e mai,1
ہوسے ساےروتماشا,havas-e sair-o-tamaashaa,1
بزمے طرب,bazm-e :tarab,1
دفعے پاےکانے قضا,daf((-e paikaan-e qa.zaa,1
قدرے لخّتے ازار,qadr-e la;z;zat-e aazaar,1
سایلایے ندامت,siilii-e nadaamat,1
جاوشے قدح,josh-e qada;h,1
دالے ہر,dil-e har,1
پاشتے دستے عجز,pusht-e dast-e ((ajz,1
تبے گرمایے رفتار,tab-e garmii-e raftaar,1
خندہہاے بی جا,;xandah'haa-e be-jaa,1
بارے خادا,baar-e ;xudaa,1
شامارے سابحہ,shumaar-e sub;hah,1
ساوے ظن,suu-e :zan,1
ہلے شوق,ahl-e shauq,1
نبضے پرای,nab.z-e parii,1
دردے دال,dard-e dil,1
ارائاشے جمال,aaraa))ish-e jamaal,1
مارغے سایر,mur;g-e asiir,1
نداوہے شبے فارقت,andoh-e shab-e furqat,1
چرخے ماکوکب,char;x-e mukaukab,1
ندازے جاناون,andaaz-e junuu;n,1
چشمے مستے ناز,chashm-e mast-e naaz,1
گردے راہے یار,gard-e raah-e yaar,1
سرحدے ادراک,sar;had-e idraak,1
دالے بی دستوپا,dil-e be-dast-o-paa,1
اشتایے چشموگاوش,aashtii-e chashm-o-gosh,1
ساجدہے بات,sijdah-e but,1
باناے خندہ,binaa-e ;xandah,1
داغے بد گامانایے شمع,daa;g-e bad-gumaanii-e sham((a,1
حسرتے لخّتے ازار,;hasrat-e la;z;zat-e aazaar,1
قاطعے عمار,qaa:ta((-e a((maar,1
نصایرے دولتوداین,na.siir-e daulat-o-dii;n,1
ماہرے صد نظر,muhr-e .sad-na:zar,1
صابحے عاید,.sub;h-e ((iid,1
ترکے نبردے عاشق,tark-e nabard-e ((ishq,1
مقدمے ساےلاب,maqdam-e sailaab,1
زخمے موجہے دریا,za;xm-e maujah-e daryaa,1
بنات ال نعشے گرداون,banaat-ul-na((sh-e garduu;n,1
برقے خارمنے راحت,barq-e ;xirman-e raa;hat,1
زخمے رشک,za;xm-e rashk,1
ہواے تاند,havaa-e tund,1
مردامکے دایدہ,mardumak-e diidah,1
ہلاکے فریبے وفاے گال,halaak-e fareb-e vafaa-e gul,1
جاگرے تاشنہے ازار,jigar-e tishnah-e aazaar,1
مانعے دشت نوردای,maana((-e dasht-navardii,1
ہستایے شیا,hastii-e ashyaa,1
داغے تمنّاے نشاط,daa;g-e tamannaa-e nashaa:t,1
برے بہارای,abr-e bahaarii,1
پرتوے مہتاب,partav-e mahtaab,1
براے واداع,baraa-e vidaa((,1
تعزایتے ماہرووفا,ta((ziyat-e mihr-o-vafaa,1
صہباے اتاشے پانہان,.sahbaa-e aatish-e pinhaa;n,1
حاکایتے صبرے گاریز پا,;hikaayat-e .sabr-e gurez-paa,1
ودایعتے ماژگانے یار,vadii((at-e mizhgaan-e yaar,1
ہامّتے داشوار پسند,himmat-e dushvaar-pasand,1
راو کشے سطحے چرخے ماینائای,ruu-kash-e sa:t;h-e char;x-e miinaa))ii,1
خامارے شوقے ساقای,;xumaar-e shauq-e saaqii,1
ذرّہے زماین,;zarrah-e zamii;n,1
ساراورے تبے غم,suruur-e tab-e ;gam,1
گرداشے مجناون,gardish-e majnuu;n,1
فاکرے دانیا,fikr-e dunyaa,1
منعے گاستاخای,man((-e gustaa;xii,1
داغے حسرتے دال,daa;g-e ;hasrat-e dil,1
ماثلے ذرّہ,mi;sl-e ;zarrah,1
ساےرے چاراغان,sair-e chiraa;gaa;n,1
سابحہے صد دانہ,sub;hah-e .sad-daanah,1
دال فریبایے ندازے نقشے پا,dil-farebii-e andaaz-e naqsh-e paa,1
یاوسافے ثانای,yuusuf-e ;saanii,1
دایدہے باینا,diidah-e biinaa,1
دایدہے ختر,diidah-e a;xtar,1
تابے زالفے پار شاکن,taab-e zulf-e pur-shikan,1
ہلے ہامّت,ahl-e himmat,1
درے یار,dar-e yaar,1
راسواے دہر,rusvaa-e dahr,1
جاوشے بہار,josh-e bahaar,1
سنگے گاران,sang-e giraa;n,1
ساوزے غم,soz-e ;gam,1
نالہے لبے خاوناین نواے گال,naalah-e lab-e ;xuunii;n-navaa-e gul,1
سر پنجہے ماژگانے اہاو,sar-panjah-e mizhgaan-e aahuu,1
محوے وفا,ma;hv-e vafaa,1
حاےرتے نقشے پا,;hairat-e naqsh-e paa,1
براے خادا,baraa-e ;xudaa,1
رگے تاک,rag-e taak,1
زیرے لب,zer-e lab,1
قامار خانہے عاشق,qimaar-;xaanah-e ((ishq,1
باےضہے ماور,bai.zah-e mor,1
وراقے لختے دال,auraaq-e la;xt-e dil,1
شبے فاراق,shab-e firaaq,1
در خوارے محفال,dar-;xvur-e ma;hfil,1
وافاورے شک,vufuur-e ashk,1
حاسنے خواد ارا,;husn-e ;xvud-aaraa,1
حاےرت کدہے شاوخایے ناز,;hairat-kadah-e sho;xii-e naaz,1
داماغے عجز,dimaa;g-e ((ajz,1
تامثالے شایراین,tim;saal-e shiirii;n,1
راخصتے نالہ,ru;x.sat-e naalah,1
شاہادے گال,shaahid-e gul,1
تلخایے کامودہن,tal;xii-e kaam-o-dahan,1
پاشت گرمایے ائاینہ,pusht-garmii-e aa))iinah,1
صداے خندہے دال,.sadaa-e ;xandah-e dil,1
رہے پارساش,rah-e pursish,1
ماغنّایے اتاش نفس,mu;gannii-e aatish-nafas,1
حقایقتے جان کاہایے مرض,;haqiiqat-e jaa;n-kaahii-e mara.z,1
باودے چاراغے کاشتہ,buud-e chiraa;g-e kushtah,1
ساتموجاورے نا خادا,sitam-o-jor-e naa-;xudaa,1
عاشرتے قطرہ,((ishrat-e qa:trah,1
محراومایے قاسمت,ma;hruumii-e qismat,1
تاشنہے خاون,tishnah-e ;xuu;n,1
داغے پلنگ,daa;g-e palang,1
تغافالہاے ساقای,ta;gaafulhaa-e saaqii,1
رعنائایے خیال,ra((naa))ii-e ;xayaal,1
لبے ساقای,lab-e saaqii,1
سروے چاراغان,sarv-e chiraa;gaa;n,1
ہنگامے بی خوادای,hangaam-e be-;xvudii,1
فسانہ خوانایے شمع,fasaanah-;xvaanii-e sham((a,1
ساےرے عدم,sair-e ((adam,1
یقاینے اجابت,yaqiin-e ijaabat,1
ماثلے داود,mi;sl-e duud,1
جازوے عظم,juzv-e a((:zam,1
ماہربانایہاے داشمن,mihrbaaniihaa-e dushman,1
خاونے خلق,;xuun-e ;xalq,1
رقصے شرر,raq.s-e sharar,1
تمنّاے زبان,tamannaa-e zabaa;n,1
ابوہواے زاندگای,aab-o-havaa-e zindagii,1
چرخے نایلای فام,char;x-e niilii-faam,1
جلوہ ریزایے بادوبہ,jalvah-rezii-e baad-o-bah,1
تاندایے صہبا,tundii-e .sahbaa,1
رہنے عاشقونا گازایرے الفتے ہستای,rahn-e ((ishq-o-naa-guziir-e ulfat-e hastii,1
ابادے تمنّا,aabaad-e tamannaa,1
ناگاہے عجز,nigaah-e ((ajz,1
فاراوغے طالعے خاشاک,furo;g-e :taala((-e ;xaashaak,1
اعتابارے نغمہ,i((tibaar-e na;gmah,1
سختای کشانے عاشق,sa;xtii-kashaan-e ((ishq,1
داے ناز,adaa-e naaz,1
ساواے خاونے جاگر,sivaa-e ;xuun-e jigar,1
گرمے فریاد,garm-e faryaad,1
نشّہے رنگ,nashshah-e rang,1
جاناونے ساختہوفصلے گال,junuun-e saa;xtah-o-fa.sl-e gul,1
رہاینے ساتمہاے راوزگار,rahiin-e sitamhaa-e rozgaar,1
ذوقے ساتم,;zauq-e sitam,1
دورے جام,daur-e jaam,1
پرتوے خوارشایدے جہان تاب,partav-e ;xvurshiid-e jahaa;n-taab,1
زالفے ماشکاین,zulf-e mushkii;n,1
حسرتے تعمایر,;hasrat-e ta((miir,1
سطوتے قاتال,sa:tvat-e qaatil,1
شرحے ہنگامہے ہستای,shar;h-e hangaamah-e hastii,1
صرفے وفا,.sarf-e vafaa,1
