suu-e :zan,1
ahl-e shauq,1
nab.z-e parii,1
dard-e dil,1
aaraa))ish-e jamaal,1
mur;g-e asiir,1
andoh-e shab-e furqat,1
char;x-e mukaukab,1
andaaz-e junuu;n,1
chashm-e mast-e naaz,1
gard-e raah-e yaar,1
sar;had-e idraak,1
dil-e be-dast-o-paa,1
aashtii-e chashm-o-gosh,1
sijdah-e but,1
binaa-e ;xandah,1
daa;g-e bad-gumaanii-e sham((a,1
;hasrat-e la;z;zat-e aazaar,1
qaa:ta((-e a((maar,1
na.siir-e daulat-o-dii;n,1
muhr-e .sad-na:zar,1
.sub;h-e ((iid,1
tark-e nabard-e ((ishq,1
maqdam-e sailaab,1
za;xm-e maujah-e daryaa,1
banaat-ul-na((sh-e garduu;n,1
barq-e ;xirman-e raa;hat,1
za;xm-e rashk,1
havaa-e tund,1
mardumak-e diidah,1
halaak-e fareb-e vafaa-e gul,1
jigar-e tishnah-e aazaar,1
maana((-e dasht-navardii,1
hastii-e ashyaa,1
daa;g-e tamannaa-e nashaa:t,1
abr-e bahaarii,1
partav-e mahtaab,1
baraa-e vidaa((,1
ta((ziyat-e mihr-o-vafaa,1
.sahbaa-e aatish-e pinhaa;n,1
;hikaayat-e .sabr-e gurez-paa,1
vadii((at-e mizhgaan-e yaar,1
himmat-e dushvaar-pasand,1
ruu-kash-e sa:t;h-e char;x-e miinaa))ii,1
;xumaar-e shauq-e saaqii,1
;zarrah-e zamii;n,1
suruur-e tab-e ;gam,1
gardish-e majnuu;n,1
fikr-e dunyaa,1
man((-e gustaa;xii,1
daa;g-e ;hasrat-e dil,1
mi;sl-e ;zarrah,1
sair-e chiraa;gaa;n,1
sub;hah-e .sad-daanah,1
dil-farebii-e andaaz-e naqsh-e paa,1
yuusuf-e ;saanii,1
diidah-e biinaa,1
diidah-e a;xtar,1
taab-e zulf-e pur-shikan,1
ahl-e himmat,1
dar-e yaar,1
rusvaa-e dahr,1
josh-e bahaar,1
sang-e giraa;n,1
soz-e ;gam,1
naalah-e lab-e ;xuunii;n-navaa-e gul,1
sar-panjah-e mizhgaan-e aahuu,1
ma;hv-e vafaa,1
;hairat-e naqsh-e paa,1
baraa-e ;xudaa,1
rag-e taak,1
zer-e lab,1
qimaar-;xaanah-e ((ishq,1
bai.zah-e mor,1
auraaq-e la;xt-e dil,1
shab-e firaaq,1
dar-;xvur-e ma;hfil,1
vufuur-e ashk,1
;husn-e ;xvud-aaraa,1
;hairat-kadah-e sho;xii-e naaz,1
dimaa;g-e ((ajz,1
tim;saal-e shiirii;n,1
ru;x.sat-e naalah,1
shaahid-e gul,1
tal;xii-e kaam-o-dahan,1
pusht-garmii-e aa))iinah,1
.sadaa-e ;xandah-e dil,1
rah-e pursish,1
mu;gannii-e aatish-nafas,1
;haqiiqat-e jaa;n-kaahii-e mara.z,1
buud-e chiraa;g-e kushtah,1
sitam-o-jor-e naa-;xudaa,1
((ishrat-e qa:trah,1
ma;hruumii-e qismat,1
tishnah-e ;xuu;n,1
daa;g-e palang,1
ta;gaafulhaa-e saaqii,1
ra((naa))ii-e ;xayaal,1
lab-e saaqii,1
sarv-e chiraa;gaa;n,1
hangaam-e be-;xvudii,1
fasaanah-;xvaanii-e sham((a,1
sair-e ((adam,1
yaqiin-e ijaabat,1
mi;sl-e duud,1
juzv-e a((:zam,1
mihrbaaniihaa-e dushman,1
;xuun-e ;xalq,1
raq.s-e sharar,1
tamannaa-e zabaa;n,1
aab-o-havaa-e zindagii,1
char;x-e niilii-faam,1
jalvah-rezii-e baad-o-bah,1
tundii-e .sahbaa,1
rahn-e ((ishq-o-naa-guziir-e ulfat-e hastii,1
aabaad-e tamannaa,1
nigaah-e ((ajz,1
furo;g-e :taala((-e ;xaashaak,1
i((tibaar-e na;gmah,1
sa;xtii-kashaan-e ((ishq,1
adaa-e naaz,1
sivaa-e ;xuun-e jigar,1
garm-e faryaad,1
nashshah-e rang,1
junuun-e saa;xtah-o-fa.sl-e gul,1
